Input file,Event Number,Species Code,Call,Start time,End time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Comments,Image,Audio,date,lat,lon,DayNight
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200801\20200801_234107.wav,2/27/23 8:33,HMS,Unknown,8/2/2020 2:29:04.8,8/2/2020 2:29:05.8,NA,NA,NA,NA,NA,NA,No HMS vocalizations 8/01/2020,NA,NA,2020-08-02,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200802\20200802_080920.wav,2/27/23 9:44,Anthro,Airplane,8/2/2020 10:30:02.1,8/2/2020 10:30:12.2,NA,NA,NA,NA,NA,NA,propeller?,NA,NA,2020-08-02,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200802\20200802_110919.wav,2/27/23 9:49,Anthro,Other,8/2/2020 12:19:14.4,8/2/2020 12:20:08.4,NA,NA,NA,NA,NA,NA,jetski?,NA,NA,2020-08-02,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200802\20200802_224659.wav,2/27/23 10:14,HMS,Unknown,8/3/2020 1:35:56.5,8/3/2020 1:35:57.4,NA,NA,NA,NA,NA,NA,No HMS vocalizations 8/02/2020,NA,NA,2020-08-03,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200803\20200803_215820.wav,2/27/23 11:06,HMS,Unknown,8/4/2020 0:45:16.8,8/4/2020 0:45:17.9,NA,NA,NA,NA,NA,NA,No HMS vocalization 8/03/2020,NA,NA,2020-08-04,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200804\20200804_235522.wav,2/27/23 12:03,HMS,Unknown,8/5/2020 2:44:19.2,8/5/2020 2:44:20.5,NA,NA,NA,NA,NA,NA,No HMS vocalizations 8/04/2020,NA,NA,2020-08-05,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200805\20200805_082815.wav,2/27/23 12:37,Anthro,Airplane,8/5/2020 10:17:35.8,8/5/2020 10:17:44.8,NA,NA,NA,NA,NA,NA,propeller?,NA,NA,2020-08-05,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200805\20200805_230444.wav,2/27/23 13:06,HMS,Unknown,8/6/2020 1:54:41.1,8/6/2020 1:54:42.2,NA,NA,NA,NA,NA,NA,No HMS vocalizations 8/05/2020,NA,NA,2020-08-06,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200806\20200806_221335.wav,2/27/23 14:01,HMS,Unknown,8/7/2020 0:59:30.5,8/7/2020 0:59:32.4,NA,NA,NA,NA,NA,NA,No HMS vocalizations 8/06/2020,NA,NA,2020-08-07,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200807\20200807_093150.wav,2/27/23 14:34,Anthro,Airplane,8/7/2020 11:01:06.3,8/7/2020 11:01:14.3,NA,NA,NA,NA,NA,NA,propeller?,NA,NA,2020-08-07,21.32505,-157.6604,Day
