Hour,Date,Location
22,7/27/20,RI20_1
23,7/27/20,RI20_1
0,7/28/20,RI20_1
1,7/28/20,RI20_1
2,7/28/20,RI20_1
3,7/28/20,RI20_1
4,7/28/20,RI20_1
5,7/28/20,RI20_1
6,7/28/20,RI20_1
7,7/28/20,RI20_1
8,7/28/20,RI20_1
9,7/28/20,RI20_1
10,7/28/20,RI20_1
11,7/28/20,RI20_1
12,7/28/20,RI20_1
13,7/28/20,RI20_1
14,7/28/20,RI20_1
15,7/28/20,RI20_1
16,7/28/20,RI20_1
17,7/28/20,RI20_1
18,7/28/20,RI20_1
19,7/28/20,RI20_1
20,7/28/20,RI20_1
21,7/28/20,RI20_1
22,7/28/20,RI20_1
23,7/28/20,RI20_1
0,7/29/20,RI20_1
1,7/29/20,RI20_1
2,7/29/20,RI20_1
3,7/29/20,RI20_1
4,7/29/20,RI20_1
5,7/29/20,RI20_1
6,7/29/20,RI20_1
7,7/29/20,RI20_1
8,7/29/20,RI20_1
9,7/29/20,RI20_1
10,7/29/20,RI20_1
11,7/29/20,RI20_1
12,7/29/20,RI20_1
13,7/29/20,RI20_1
14,7/29/20,RI20_1
15,7/29/20,RI20_1
16,7/29/20,RI20_1
17,7/29/20,RI20_1
18,7/29/20,RI20_1
19,7/29/20,RI20_1
20,7/29/20,RI20_1
21,7/29/20,RI20_1
22,7/29/20,RI20_1
23,7/29/20,RI20_1
0,7/30/20,RI20_1
1,7/30/20,RI20_1
2,7/30/20,RI20_1
3,7/30/20,RI20_1
4,7/30/20,RI20_1
5,7/30/20,RI20_1
6,7/30/20,RI20_1
7,7/30/20,RI20_1
8,7/30/20,RI20_1
9,7/30/20,RI20_1
10,7/30/20,RI20_1
11,7/30/20,RI20_1
12,7/30/20,RI20_1
13,7/30/20,RI20_1
14,7/30/20,RI20_1
15,7/30/20,RI20_1
16,7/30/20,RI20_1
17,7/30/20,RI20_1
18,7/30/20,RI20_1
19,7/30/20,RI20_1
20,7/30/20,RI20_1
21,7/30/20,RI20_1
22,7/30/20,RI20_1
23,7/30/20,RI20_1
0,7/31/20,RI20_1
1,7/31/20,RI20_1
2,7/31/20,RI20_1
3,7/31/20,RI20_1
4,7/31/20,RI20_1
5,7/31/20,RI20_1
6,7/31/20,RI20_1
7,7/31/20,RI20_1
8,7/31/20,RI20_1
9,7/31/20,RI20_1
10,7/31/20,RI20_1
11,7/31/20,RI20_1
12,7/31/20,RI20_1
13,7/31/20,RI20_1
14,7/31/20,RI20_1
15,7/31/20,RI20_1
16,7/31/20,RI20_1
17,7/31/20,RI20_1
18,7/31/20,RI20_1
19,7/31/20,RI20_1
20,7/31/20,RI20_1
21,7/31/20,RI20_1
22,7/31/20,RI20_1
23,7/31/20,RI20_1
0,8/1/20,RI20_1
1,8/1/20,RI20_1
2,8/1/20,RI20_1
3,8/1/20,RI20_1
4,8/1/20,RI20_1
