Location,Year,VocalType,DeltaTime,Dur90,Freq5,Freq25,CenterFreq,Freq75,Freq95,BW50,BW90,PeakFreq,AvgPower,PeakPower,AggEntropy,RMSAmp,SNRNIST,Harmonics,Whoops/Bout
LR,2021,ForagingCall,0.4888,0.2395,199.219,222.656,246.094,292.969,562.5,70.312,363.281,257.812,-98.06,-60.28,4.235,26.402,23.48,0,
LR,2021,Growl,2.0775,1.642,175.781,199.219,199.219,210.938,246.094,11.719,70.312,199.219,-91.14,-54.62,2.521,58.176,16.38,0,
LR,2021,Growl,2.7597,2.0354,128.906,199.219,210.938,222.656,292.969,23.438,164.062,199.219,-91.4,-53.64,3.591,56.49,18.07,0,
LR,2021,Growl,3.3586,2.9676,105.469,175.781,187.5,210.938,363.281,35.156,257.812,187.5,-93.02,-55.2,4.058,46.886,17.92,0,
LR,2021,Growl,2.8182,2.3347,199.219,222.656,246.094,269.531,351.562,46.875,152.344,246.094,-91.37,-54.92,3.939,56.602,16.31,0,
LR,2021,Growl,1.7207,1.2914,187.5,210.938,234.375,269.531,363.281,58.594,175.781,199.219,-86.02,-50.06,4.048,104.877,16.57,0,
LR,2021,Growl,2.5996,2.0696,140.625,246.094,269.531,339.844,445.312,93.75,304.688,257.812,-88.48,-53.08,4.213,79.048,16.86,0,
LR,2021,Growl,4.0958,3.3182,128.906,175.781,210.938,246.094,351.562,70.312,222.656,210.938,-86.96,-47.24,4.424,94.154,17.42,0,
LR,2021,Growl,3.7568,3.1386,117.188,210.938,234.375,292.969,421.875,82.031,304.688,234.375,-84.81,-49.65,4.613,120.554,16.04,0,
LR,2021,Growl,1.5844,1.1032,93.75,164.062,199.219,222.656,328.125,58.594,234.375,199.219,-81.94,-46.43,4.299,167.597,17.16,0,
LR,2021,Growl,3.1348,2.7025,199.219,210.938,222.656,257.812,339.844,46.875,140.625,222.656,-91.22,-53.51,3.457,57.6,17.7,0,
LR,2021,Growl,2.511,2.0183,140.625,164.062,187.5,246.094,316.406,82.031,175.781,234.375,-81.82,-43.44,4.15,169.914,17.51,0,
LR,2021,Growl,4.0686,3.6774,140.625,210.938,222.656,234.375,351.562,23.438,210.938,210.938,-85.54,-49.58,3.486,110.688,15.26,0,
LR,2021,Growl,1.8413,1.4624,210.938,246.094,257.812,269.531,375,23.438,164.062,257.812,-91.77,-57.06,3.202,54.059,17.4,0,
LR,2021,Growl,4.0574,3.3952,164.062,234.375,339.844,410.156,515.625,175.781,351.562,375,-82.3,-49.34,5.084,161.123,14.92,0,
LR,2021,Growl,2.4048,1.967,140.625,222.656,222.656,234.375,375,11.719,234.375,222.656,-82.34,-45.54,3.305,160.07,16.32,0,
LR,2021,Growl,2.9243,2.2663,140.625,199.219,210.938,210.938,292.969,11.719,152.344,210.938,-94.08,-56.78,2.832,41.471,17.87,0,
LR,2021,Growl,4.2527,3.2241,175.781,199.219,210.938,246.094,363.281,46.875,187.5,199.219,-92.24,-54.04,3.739,51.248,17.62,0,
LR,2021,Growl,3.9067,3.1899,187.5,199.219,210.938,281.25,398.438,82.031,210.938,316.406,-90.31,-55.41,4.058,63.984,17.07,0,
LR,2021,Growl,2.5578,2.0867,105.469,222.656,304.688,339.844,386.719,117.188,281.25,339.844,-86.5,-51.63,4.593,99.217,16.31,0,
LR,2021,Growl,3.3791,2.8821,140.625,175.781,187.5,234.375,386.719,58.594,246.094,210.938,-85.42,-48.98,4.025,112.444,16.07,0,
LR,2021,Moan,0.995,0.7782,46.875,70.312,70.312,70.312,82.031,0,35.156,70.312,-92.33,-55.55,1.783,50.664,16.52,3,
LR,2021,Moan,0.3859,0.2993,23.438,58.594,70.312,93.75,105.469,35.156,82.031,105.469,-99.53,-65.75,3.065,22.211,18.48,3,
LR,2021,Moan,0.5409,0.3421,35.156,46.875,82.031,93.75,105.469,46.875,70.312,93.75,-89.77,-51.76,2.723,67.993,17.42,5,
LR,2021,Moan,1.0194,0.8296,35.156,58.594,70.312,105.469,128.906,46.875,93.75,58.594,-95.57,-61.14,3.245,34.898,20.49,4,
LR,2021,Moan,0.914,0.7611,46.875,46.875,58.594,70.312,117.188,23.438,70.312,58.594,-92.56,-55.56,2.235,49.417,17.96,3,
LR,2021,Moan,0.4249,0.3079,46.875,58.594,58.594,70.312,117.188,11.719,70.312,58.594,-88.74,-53.15,2.276,76.978,16.43,7,
LR,2021,Moan,0.7681,0.6072,23.438,35.156,35.156,70.312,246.094,35.156,222.656,35.156,-100.29,-64.53,2.997,20.306,21.68,3,
LR,2021,Moan,1.1503,0.7868,35.156,58.594,70.312,70.312,164.062,11.719,128.906,70.312,-91.45,-55.66,2.717,56.184,17.59,6,
LR,2021,Moan,0.6487,0.5217,23.438,35.156,46.875,70.312,269.531,35.156,246.094,35.156,-98.88,-63.31,3.221,23.897,17.97,3,
LR,2021,Moan,0.4793,0.3164,46.875,58.594,82.031,93.75,128.906,35.156,82.031,58.594,-93.96,-58.69,3.253,42.025,18.74,4,
LR,2021,Moan,0.5038,0.3506,35.156,46.875,46.875,58.594,222.656,11.719,187.5,46.875,-96.03,-59.12,2.716,33.163,20.14,3,
LR,2021,Moan,0.3442,0.2737,35.156,46.875,46.875,82.031,140.625,35.156,105.469,46.875,-97.78,-62.41,3.165,27.04,20.23,3,
LR,2021,Moan,0.4191,0.3763,46.875,58.594,58.594,93.75,222.656,35.156,175.781,58.594,-102,-68.14,3.132,16.629,22.04,3,
LR,2021,Moan,0.5188,0.4362,35.156,35.156,46.875,82.031,199.219,46.875,164.062,46.875,-98.33,-63.44,2.877,25.505,20.77,3,
LR,2021,Moan,0.7391,0.6072,46.875,58.594,70.312,70.312,187.5,11.719,140.625,70.312,-92.45,-55.49,2.498,49.981,17.11,4,
LR,2021,Moan,0.5943,0.4276,46.875,58.594,70.312,117.188,140.625,58.594,93.75,58.594,-91.35,-55.47,2.889,56.993,17.83,5,
LR,2021,Moan,0.3895,0.2993,58.594,58.594,70.312,82.031,152.344,23.438,93.75,70.312,-90.44,-54.3,2.674,63.431,16.45,0,
LR,2021,Whoop,0.1264,0.0855,222.656,304.688,398.438,480.469,539.062,175.781,316.406,257.812,-92.34,-62.55,5,51.162,22.54,0,2
LR,2021,Whoop,0.1705,0.0941,93.75,339.844,386.719,457.031,527.344,117.188,433.594,386.719,-88.95,-55.81,4.605,75.062,19.92,0,1
LR,2021,Whoop,0.2327,0.0941,117.188,187.5,199.219,210.938,257.812,23.438,140.625,199.219,-84.8,-46.23,3.371,122.382,20.76,0,6
LR,2021,Whoop,0.1756,0.077,140.625,187.5,234.375,257.812,304.688,70.312,164.062,246.094,-79.04,-45.35,4.201,237.049,22.18,0,5
LR,2021,Whoop,0.1076,0.077,128.906,304.688,339.844,515.625,527.344,210.938,398.438,527.344,-92.11,-61.31,4.441,51.346,17.39,0,3
LR,2021,Whoop,0.1344,0.077,222.656,281.25,339.844,433.594,597.656,152.344,375,328.125,-91.07,-60.94,5.067,59.322,17.81,0,3
LR,2021,Whoop,0.1284,0.0513,210.938,246.094,292.969,375,457.031,128.906,246.094,246.094,-91.03,-58.39,4.642,58.883,20.35,0,4
LR,2021,Whoop,0.1053,0.0513,210.938,281.25,316.406,339.844,375,58.594,164.062,328.125,-88.13,-55.58,4.058,81.67,20.03,0,3
LR,2021,Whoop,0.1313,0.0599,117.188,269.531,304.688,339.844,410.156,70.312,292.969,269.531,-95.21,-62.83,4.242,37.178,19.18,0,1
LR,2021,Whoop,0.1604,0.0855,246.094,351.562,433.594,503.906,550.781,152.344,304.688,421.875,-95.26,-64.42,4.831,35.973,19.42,0,2
LR,2021,Whoop,0.1192,0.077,58.594,269.531,316.406,375,539.062,105.469,480.469,316.406,-98.29,-67.53,4.877,25.204,20.58,0,8
LR,2021,Whoop,0.0912,0.0599,35.156,199.219,257.812,281.25,328.125,82.031,292.969,269.531,-94.3,-62.66,4.31,40.059,18.28,0,5
LR,2021,Whoop,0.1559,0.0941,46.875,82.031,140.625,187.5,257.812,105.469,210.938,187.5,-91.83,-59.13,4.324,54.065,19.85,0,1
LR,2021,Whoop,0.1254,0.0684,70.312,304.688,375,433.594,515.625,128.906,445.312,375,-91.86,-60.51,4.992,54.916,21.8,0,1
LR,2021,Whoop,0.2847,0.077,117.188,187.5,199.219,222.656,246.094,35.156,128.906,199.219,-80.36,-41.6,3.303,200.446,26.23,0,5
LR,2021,Whoop,0.1355,0.077,199.219,281.25,351.562,386.719,480.469,105.469,281.25,351.562,-91.14,-59.22,4.654,58.437,18.16,0,11
LR,2021,Whoop,0.163,0.0684,35.156,257.812,375,445.312,539.062,187.5,503.906,46.875,-89.66,-58.74,5.03,68.972,19.86,0,2
LR,2021,Whoop,0.1237,0.0684,246.094,304.688,363.281,410.156,480.469,105.469,234.375,410.156,-90.95,-61.06,4.59,58.67,16.68,0,3
